,Bambara,Fulfulde,Songhay,Soninke,Xaasongaxango,Senoufo,Dogon,Hassaniyya,Tamashek,Marka,Haoussa,Bankagooma,Bozo
Bambara,0,,,,,,,,,,,,
Fulfulde,99.33,0,,,,,,,,,,,
Songhay,95.93,99.02,0,,,,,,,,,,
Soninke,86.49,98.83,99.66,0,,,,,,,,,
Xaasongaxango,49.42,96.87,95.87,84.94,0,,,,,,,,
Senoufo,96.58,100.74,98.15,97.8,98.85,0,,,,,,,
Dogon,92.04,91.83,96.01,98.71,90.27,94.74,0,,,,,,
Hassaniyya,96.78,98.91,96.95,99.39,96.73,97.41,101.15,0,,,,,
Tamashek,96.89,99.11,101.25,99.36,100.34,98.15,100.67,95.06,0,,,,
Marka,57.08,97.02,100.2,87.62,56.44,97.02,92.44,99.35,100.88,0,,,
Haoussa,100.77,98.94,98.1,100.16,97.59,96.23,100.57,96.95,95.9,100.88,0,,
Bankagooma,90.29,99.15,101.27,94.42,88.4,103.98,98.67,99.78,101.54,94.29,101.6,0,
Bozo,82.07,99,100.47,88.94,83.06,97.82,99.47,98.75,101.46,82.48,98.27,94.17,0