,Bainouk,Badyara,Balanta,Bambara,Oniyan,Menik,Wamey,Jahanka,Jalunga,Jola,Fulah,Xasonga,Wolof,Maninkakan,Mankanya,Mandinka,Mandjak,Arabic,Pular,Soninke,Serer,Susu,English,French
Bainouk,0,,,,,,,,,,,,,,,,,,,,,,,
Badyara,95.06,0,,,,,,,,,,,,,,,,,,,,,,
Balanta,96.01,102.93,0,,,,,,,,,,,,,,,,,,,,,
Bambara,97.1,103.1,93.98,0,,,,,,,,,,,,,,,,,,,,
Oniyan,102.23,98.24,98.96,101.17,0,,,,,,,,,,,,,,,,,,,
Menik,100.22,98.8,88.19,99.16,74.75,0,,,,,,,,,,,,,,,,,,
Wamey,99.65,97.05,90.69,101.89,85.47,85.1,0,,,,,,,,,,,,,,,,,
Jahanka,98.82,102.93,96.27,61.47,102.97,102.13,101.52,0,,,,,,,,,,,,,,,,
Jalunga,96.82,99.08,97.98,77.91,99.71,98.29,100.24,88.87,0,,,,,,,,,,,,,,,
Jola,94.56,97.55,96.27,97.39,99.68,99.47,100.34,99.78,101.42,0,,,,,,,,,,,,,,
Fulah,103.68,98.05,99.98,97.52,94.98,97.01,96.41,99.96,99.53,97.88,0,,,,,,,,,,,,,
Xasonga,96.83,99.14,97.46,49.42,103.06,100.09,98.38,38.32,76.84,100.81,96.55,0,,,,,,,,,,,,
Wolof,99,96.89,97.03,101.38,91.78,97.76,98.11,101.78,102.47,100.27,95.74,101.85,0,,,,,,,,,,,
Maninkakan,97,98.41,93.39,40.05,98.59,98.36,99,62.71,76.03,97.64,95.5,49.78,99.08,0,,,,,,,,,,
Mankanya,97.8,94.76,90.14,98.28,96.15,98.13,100.71,100.77,97.28,90.92,97.83,100.92,100.71,98.26,0,,,,,,,,,
Mandinka,98.99,99.24,97.19,57.01,103.35,99.24,97.9,39.18,79.3,100.5,96.96,21.74,102.42,52.99,99.93,0,,,,,,,,
Mandjak,97.24,97.22,92.94,98.08,99.29,95.82,95.5,102.08,100.88,94.66,96.38,100.96,100.12,98.19,44.38,99.71,0,,,,,,,
Arabic,100.99,98.53,98.77,96.78,99.4,99.18,101.8,97.12,98.2,96.14,96.67,96.73,98.34,97.18,95.98,98.34,99.14,0,,,,,,
Pular,100.13,96.81,98.59,98.54,99,98.3,101.19,101.02,97.16,97.43,49.32,98.59,95.17,98.09,93.01,98.06,95.46,98.68,0,,,,,
Soninke,99.93,99.79,98.01,86.49,100.73,100.6,100.56,88.74,87.6,94.82,96.01,84.94,99.51,84.41,95.3,84.96,96.52,99.39,100,0,,,,
Serer,96.26,93.07,97.94,95.36,99.96,95.11,93.95,98.64,101.56,96.35,91.57,101.05,97.48,99.83,96.92,98.58,99.49,101.11,91.74,99.03,0,,,
Susu,96.34,98.98,99.65,80.53,100.31,99.07,101.3,89.61,26.07,102.11,99.16,80.78,102.73,77.63,98.27,84.46,101.85,99.16,98.46,90.08,101.34,0,,
English,98.09,100.97,98.99,101.23,100.88,99.23,99.77,100.2,97.46,100.1,100.4,99.56,99.25,100.49,100.89,100.16,100.5,94.96,99.92,103.03,98.67,101.05,0,
French,98.73,101.11,98.08,94.91,101.25,101.87,98.94,98.96,99.08,96.46,96.23,96.01,95.35,95.38,98.98,98.87,99.69,98.42,100.11,100.65,100.76,99.84,91.35,0